"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturns","nNET PROFIT","Accrual"
"T V S Motor Co. Ltd.",70.2,1175.3,0,9463,9099.9,2206.8,655,39.2,1304.1,0,10133.1,10767.3,517.2,520,31.15,147.3,-1486.8,3.728731942,0,-4095
"Bharat Forge Ltd.",938.8,2149.3,0,18033.1,9074.2,170.4,1812,261.8,2239.3,0,15263.9,6673.5,62.7,0,203.8,723.75,628.1,2.551275761,0,-3850.5
"Apollo Tyres Ltd.",-287,1856.9,0,16661.3,10941.3,5312.5,515.2,435.9,2189.9,0,16347.2,8792.2,2244.2,1060.1,67.3,174.8,778.6,1.597325409,0,-3601.2
"Grasim Industries Ltd.",-36.3,1442,0,11754.8,5078.5,564.7,3566.1,52.5,1592.1,0,13385.6,7747.3,973.4,2650.1,2646.8,3214.75,-42,0.21457987,0,-3226.2
"Siemens Ltd.",-1902,2010,0,78013,49346,0,2958,-3780,2502,0,69993,41874,0,1051,511.85,876.7,1925,0.7128064863,0,-3079
"L & T Finance Holdings Ltd.",36.4,0.1,0,195.1,88.2,0,182,450,1,0,541.3,3405.3,0,573.5,61.45,68.35,-2992,0.1122864117,0,-2994
"G M R Infrastructure Ltd.",-1977,75.8,0,11956.4,5757.1,5000,367.1,-21.3,83.1,44.3,13370.1,6586,3512,455.4,12.61,26.24,-2643.2,1.080888184,0,-2898
"N H P C Ltd.",6538.9,9669.8,0,111902,37836.7,1800,6941.9,-3879.6,10251.8,0,108314.1,34419.2,0,5874.1,16.6,22.85,17632.1,0.3765060241,0,-2871.49999999999
"Ultratech Cement Ltd.",447.9,8866.9,0,30010.2,33739.9,1521.5,9489.7,-469.2,9339.2,0,35174.3,37903.9,5594.5,10056.5,1836.65,2420.85,15896.2,0.3180791114,0,-2782.2
"Sun T V Network Ltd.",-408,4430,0,8493,1776.8,0,3388.8,140.9,4131.8,0,10516.1,1774.9,0,3359.3,404.85,424.75,5578.4,0.04915400766,0,-2685.2
"Mahindra & Mahindra Financial Services Ltd.",-894.1,195.6,0,4090.8,7379.4,14809.9,2896.2,740.3,222.4,0,7718.2,11089.7,12697.8,4335.1,233.65,235.25,-2168.1,0.006847849347,0,-2612.9
"Ceat Ltd.",-160.3,705,0,12537.4,10235.9,1568.5,38.5,390.4,781.6,0,12784.3,11458.7,1051.8,317.8,127.45,522.1,-982.4,3.096508435,0,-2545.6
"Federal Bank Ltd.",-2157.5,566.6,0,45216.8,13031.4,0,3059,1874.4,787,0,46890.2,14409.4,0,5148.1,34.96,59.98,-860.4,0.7156750572,0,-2434.40000000001
"Bharat Electronics Ltd.",-10442.7,925,0,127414,86322.1,0,2980,768.2,981.7,0,125379.3,74071,0,2650,367.77,587.42,-342.8,0.5972482802,0,-2306.19999999999
"Biocon Ltd.",-1470,942,0,8430,3789,59,559,1138,968,0,9798,4272,282,760,315.15,470.1,-331,0.491670633,0,-2267
"Century Textiles & Inds. Ltd.",78.5,2600.7,0,15156.7,7977.8,7921.8,115,45.9,3603.7,0,17101.4,8978.3,8530.2,0,218.45,603.45,5073.9,1.762417029,0,-2133.5
"Karnataka Bank Ltd.",-1204.9,219.1,0,23368.5,8119.3,1.1,425.2,882.3,240.3,314.1,24480.5,9436.2,4.9,1161,81,127.45,-998.1,0.5734567901,0,-2106.9
"India Cements Ltd.",-302.1,2512.9,19.1,7432.4,10246.8,7720.5,377.7,16.5,2818.4,32.4,9713.6,12210.2,8062.6,836.4,51.8,103.35,3650.8,0.9951737452,0,-2050.8
"Colgate-Palmolive (India) Ltd.",-54.5,393.1,0,6219.8,5869.1,0,1371.8,1400.5,437,0,6998.3,7176.5,0,1766.2,687.95,783.1,-1152.5,0.1383094702,0,-2026.5
"Dabur India Ltd.",688.8,387.3,0,10887.1,6407.9,2721.3,1144.5,316.7,484.5,0,10339.7,7087.7,1907.4,1505.9,161.4,207.25,-823.1,0.2840768278,0,-1792.1
"Strides Shasun Ltd.",50.4,372.8,0,5315,2807.1,4042.3,192.5,-521.6,361,0,3656.1,2053.3,2935.8,206.5,589.65,661.9,-1064.6,0.1225303146,0,-1786.6
"Voltas Ltd.",-1765.6,285.7,0,29153.6,19833,1777.9,643.2,542.9,219.6,0,30769.3,21002.7,2119.7,608.1,77.8,192.25,-1336.2,1.471079692,0,-1775.4
"I F C I Ltd.",-1292.5,116.7,0,6229.1,10857.5,499.9,1101.3,2070.1,103.3,0,8082.6,10408.8,0.1,1031.2,21.9,38.2,-1527,0.7442922374,0,-1733.6
"Castrol India Ltd.",-693.4,251.1,0,10824.1,4991.9,0,2554.4,347.6,266.4,0,11317.2,5630.2,0,2277.8,315,336.05,-1196.4,0.06682539683,0,-1729.2
"Indraprastha Gas Ltd.",714.5,1432.1,0,2389.9,4051.2,0,1221,631,1866.6,0,3050.2,4937.7,0,1517,262,372.75,2019.9,0.4227099237,0,-1713.3
"M R F Ltd.",50.8,3011.1,0,31668.3,22252.8,4180.9,2355,2261.5,3729.3,0,36903.4,24465.9,4203,3890,13217.45,23337.2,6097.7,0.7656355802,0,-1360.9
"Eicher Motors Ltd.",-6.5,116.3,0,999,1680.1,136.7,178.4,5.2,151.1,0,938,2969.6,200.1,292.9,3489.25,8498.95,-1033.2,1.435752669,0,-1335.4
"Motherson Sumi Systems Ltd.",-159,1172,0,10316,6086,3463,1196,453,1400,0,11663,6356,2547,1858,91.36,243.3,1611,1.663091068,0,-1189
"Apollo Hospitals Enterprise Ltd.",455.2,911.3,0,7528.2,2759,1057.2,0,686.5,1085.2,0,9045,3042.3,26.3,0,938.15,1013.2,1056.5,0.07999786814,0,-1113.9
"Amtek Auto Ltd.",-5238.9,2118.5,0,14821.3,8877.8,7650,1182.8,3277.9,2837.4,0,19772.6,2287.9,6960.5,657.7,63.35,258.6,4647.2,3.082083662,0,-1027.6
"S R F Ltd.",653.1,1578.2,0,10287.9,5424.6,2944.5,1640,-525.8,1791.5,0,11189.2,5072.7,2423,706.3,133.55,589.95,2768.4,3.417446649,0,-814.599999999998
"Dewan Housing Finance Corpn. Ltd.",-1781.9,47.2,0,10518.4,1388.1,44.4,861.5,-1890.8,84.6,0,8660.9,2157.4,1214.2,1551.8,64.63,177.47,-573.2,1.745938419,0,-742.4
"U P L Ltd.",-554.1,1424.9,0,21668.5,7904.6,2588.6,619.9,903.8,1567.8,0,27625.1,11607.1,2447,793,127.35,328.85,2395.5,1.582253632,0,-740.100000000003
"Jubilant Foodworks Ltd.",19.5,375.7,0,370.5,1436.9,130.7,396.6,196.1,546.7,0,690.1,1796.8,119.9,472.8,1125.7,1258.1,395.2,0.1176157058,0,-698.2
"Pidilite Industries Ltd.",-104.8,479.3,0,10007.5,4912.6,4.6,1051.5,-98.6,532.4,0,9825.6,5196.7,0,1558.8,268.3,372.3,562.9,0.387625792,0,-501.899999999999
"Just Dial Ltd.",39.5,90.2,0.6,247.6,1390.9,0,206,-0.1,144,0,298.5,1752.3,0,278.9,697.8,1672.6,-54,1.39696188,0,-342
"Asian Paints Ltd.",-82.6,936.6,0,20259,14168.7,0,4027.6,506,1211,0,24056.5,16448.1,0,4060.3,507.6,628.65,2173.2,0.2384751773,0,-248.799999999997
"Ajanta Pharma Ltd.",2.7,306.8,0,2972.2,1225.5,40,159.5,113.1,327,0,3145.7,1493.5,165.6,328.1,250.47,645.58,416.3,1.577474348,0,-237.7
