"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nRETUERNS","nPROFIT","Accrual"
"Strides Shasun Ltd.",496.5,320.9,0,3872.6,2209.6,3739.1,155.2,50.4,372.8,0,5315,2807.1,4042.3,192.5,712.35,589.65,1258.7,-0.1722467888,0,1258.7
"Voltas Ltd.",-265,164.6,0,30453.7,21407.5,939.1,1690,-1765.6,285.7,0,29153.6,19833,1777.9,643.2,106.3,77.8,1281.3,-0.2681091251,0,1281.3
"Ambuja Cements Ltd.",7674.9,3892.5,6.1,28300.6,12976.1,85.3,4462.5,6104.6,4453.2,1.9,35178.6,15881.9,0,4820,180.45,167.5,1359.6,-0.07176503186,0,1359.6
"Ceat Ltd.",-922.4,341.7,0,10995.2,11125.3,1092.7,70.7,-160.3,705,0,12537.4,10235.9,1568.5,38.5,98.05,127.45,1408.1,0.2998470168,0,1408.1
"Jain Irrigation Systems Ltd.",-467.3,850.4,0,29694.6,12956.9,12816.5,909,-1004.5,1018.3,0,34222.2,13481.5,11247.8,552.3,81.1,50.35,1596.5,-0.379161529,0,1596.5
"Castrol India Ltd.",935,243.3,0,10503,4948.6,0,2509.3,-693.4,251.1,0,10824.1,4991.9,0,2554.4,276.3,315,1700.2,0.1400651466,0,1700.2
"Pidilite Industries Ltd.",394.9,443.9,0,7482.8,4041.8,27.7,940.8,-104.8,479.3,0,10007.5,4912.6,4.6,1051.5,167.2,268.3,1761.9,0.6046650718,0,1761.9
"Bata India Ltd.",793.6,325.1,15.3,4740.4,3269.1,0,546.4,68.7,411,0,5497.5,2782.5,0,966.8,444.93,481.45,1978,0.08208032724,0,1978
"Asian Paints Ltd.",134.8,943.8,5.8,15631.1,11952.7,39.9,3249.9,-82.6,936.6,0,20259,14168.7,0,4027.6,364.23,507.6,2430.5,0.3936249073,0,2430.5
"Karnataka Bank Ltd.",1805.1,229.9,314,22761.8,7076.1,0.2,303.3,-1204.9,219.1,0,23368.5,8119.3,1.1,425.2,95.6,81,2477.2,-0.1527196653,0,2477.2
"South Indian Bank Ltd.",4784.5,228.2,313.1,28418.2,6361.9,0,1464.9,1744.1,312,409.1,30838.1,9123,0,1972.6,23.25,22.5,2485.8,-0.03225806452,0,2485.8
"Aurobindo Pharma Ltd.",1179.5,1199.9,0,29777.6,7746.1,9395.7,1837.5,-1082,1363.5,0,28585.1,6382.7,12759.6,48.7,54.5,84.65,2644,0.5532110092,0,2644
"Divi'S Laboratories Ltd.",-2,533.5,0,9540.3,2313.8,136.2,392,-14,620.3,0,12144.7,2955.7,502,1327.5,548.35,468.35,2655.5,-0.1458922221,0,2655.5
"Housing Development & Infrastructure Ltd.",-5613.8,72.5,0,106578.9,18768.3,1518.7,1563.1,41.2,84.4,0,110817.1,23733,12291.1,218.7,79.35,33.25,2962.1,-0.5809703844,0,2962.10000000001
"Indian Overseas Bank",21940.2,1050,890,156044.7,37856.2,0,1416.8,42424.5,1110.5,2010.4,192286.1,47702.6,0,2475.8,72.5,42,3848.8,-0.4206896552,0,3848.79999999999
"Engineers India Ltd.",169.3,143,0,24605.8,15422.9,0,2994.3,-585.8,194.5,0,26005.7,13466.4,0,3202.6,239.4,137.1,4125.3,-0.4273182957,0,4125.3
"Tata Chemicals Ltd.",861.1,2044.6,0,23192.9,12177.2,127.3,1888,930.9,2246.8,0,37187.9,19845,89.3,2095.2,305.9,258.3,4179.8,-0.1556064073,0,4179.8
"Reliance Capital Ltd.",6740,140,480,24160,4800,10360,0,-5720,260,600,19810,5030,7100,780,334,343.1,4540,0.02724550898,0,4540
"I F C I Ltd.",4893.3,102.8,0,8613.5,11146.9,0,934.7,-1292.5,116.7,0,6229.1,10857.5,499.9,1101.3,35.4,21.9,4640.6,-0.3813559322,0,4640.6
"Dewan Housing Finance Corpn. Ltd.",4314.5,37.3,0,11997.5,1577.4,9.9,646.5,-1781.9,47.2,0,10518.4,1388.1,44.4,861.5,72.53,64.63,5008.9,-0.1089204467,0,5008.9
"Lupin Ltd.",-7.4,868.1,0,22371.5,6978.9,7574.9,1685.5,-176.3,1097.7,0,29152.3,8799.4,8577.3,2018.6,600.9,871.15,5367,0.4497420536,0,5367
"P T C India Ltd.",-334.3,50.3,0,16761.3,5702.9,0,598,-3452,44.6,0,26687.3,12943.1,0,463.8,56.65,44.65,5624.7,-0.2118270079,0,5624.7
"Shriram Transport Finance Co. Ltd.",-8067.2,108.2,119.9,73710.4,52208.8,12229.3,6980.1,21760.9,134.6,161.2,84901.2,47776.6,32643.8,6864.5,578.05,632.4,5798,0.09402300839,0,5798.00000000001
"Bajaj Finance Ltd.",5565.3,96.4,8.4,9096.5,3363.4,19957,1189.5,-8118.4,148.8,0,1449.7,4084.1,20397,2000,1008.21,1143.95,6417.9,0.1346346495,0,6417.9
"Kotak Mahindra Bank Ltd.",1707.2,982.7,0,37714.9,29859.6,24627,3609.1,1635.7,1167.6,0,43928.5,24970.5,19903.7,4931.5,267.88,326.18,6605.7,0.2176347618,0,6605.7
"G M R Infrastructure Ltd.",3451.6,49.1,0,7707.9,3722.6,6010.8,236.6,-1977,75.8,0,11956.4,5757.1,5000,367.1,22.81,12.61,6686.5,-0.4471722929,0,6686.5
"Vedanta Ltd.",8432.4,831.3,0,21644.2,11707,33.1,9630,-8038.3,838.5,0,14083.2,10339,15,7190,190.2,127.85,6981.1,-0.3278128286,0,6981.1
"Reliance Infrastructure Ltd.",692.4,3134.1,0,78151.7,124901.1,1723.4,2271.5,3035.1,2677.7,0,106440.7,144833.7,6401.1,1300,494.65,341.5,7042.2,-0.3096128576,0,7042.19999999999
"Adani Ports & Special Economic Zone Ltd.",-1389.3,2078.6,0,5650.1,10415.7,5000,223.5,1488.5,2735,0,13585.8,10946.9,8048.9,2543.3,120.45,125.25,7160.4,0.0398505604,0,7160.4
"Power Finance Corpn. Ltd.",9519.4,50.5,0,43035.2,30096.1,43410.4,8989.9,-3622.7,54.2,0,50205.7,39741.1,40712,10708.7,173.15,108.1,9633.8,-0.3756858215,0,9633.8
"Mahindra & Mahindra Financial Services Ltd.",1164,157.9,0,3909.3,6236,5797.9,2491.4,-894.1,195.6,0,4090.8,7379.4,14809.9,2896.2,141.93,233.65,10317.4,0.646234059,0,10317.4
"Reliance Power Ltd.",9751.1,11.4,0,13629.9,1155.2,0,0,-7789.2,29.3,0,5880.6,445.5,0,0,91.25,73,10471.4,-0.2,0,10471.4
"Oil & Natural Gas Corpn. Ltd.",29714.7,122719.8,0,235343.5,188133,0,81200,56434.8,132496.6,0,339440,195173.6,45000,108950,286.05,290.7,10589.2,0.01625589932,0,10589.2
"Oracle Financial Services Software Ltd.",-2873.9,336.5,0,37434.4,5655.7,0,2067.8,567.6,401.2,0,51574.2,7531,0,4717,2554.3,2958.7,11071,0.1583212622,0,11071
"N M D C Ltd.",-4948.6,1203.5,44.5,185269.3,7718.7,0,32182,19449.1,1301.7,34.6,221607.4,9703.8,0,34869.4,187.3,97.9,11306.4,-0.4773091297,0,11306.4
"Federal Bank Ltd.",10249.1,542.6,0,43356.6,10808.4,0,3162.6,-2157.5,566.6,0,45216.8,13031.4,0,3059,41.43,34.96,11373.6,-0.1561670287,0,11373.6
"N H P C Ltd.",2527,9763.1,0,89017.1,37561.9,0,5575.1,6538.9,9669.8,0,111902,37836.7,1800,6941.9,18.25,16.6,12095.2,-0.0904109589,0,12095.2
"I T C Ltd.",10963.8,6559.9,0,85200.4,44732.2,19.4,22880.2,2248.9,6985.1,0,96046.9,48234,17.7,26796.6,258.15,341.7,12989.2,0.3236490413,0,12989.2
"Titan Company Ltd.",9087.1,344.8,0,32270.6,24208.8,0,1686,-1385.1,449,0,40368.2,29381.1,0,2389,221.95,263.4,13651.5,0.1867537734,0,13651.5
"Allahabad Bank",18591.5,619.4,833.3,122887.4,38977.7,3121.6,4556.6,29978.3,692.6,2108.6,153086.3,36828.8,119.3,3141.3,133.8,71.45,13742.2,-0.4659940209,0,13742.2
"Wipro Ltd.",-4933,6001,0,154253,50879,27754,8968,9343,7461,0,192529,59347,30410,14300,340.05,438,16059,0.2880458756,0,16059
"Coal India Ltd.",-18482.2,60.8,0,118777.1,74108.5,0,1900,-1704.8,64.2,0,158915.3,83400.9,0,4500,359.35,281.55,16604.2,-0.2165020175,0,16604.2
"D L F Ltd.",-3.6,1268.3,0,132397.5,53069.4,18834.4,3047.5,2234.8,1368.9,0,144058.5,49639.5,22620.3,4450,209.05,149.8,16672,-0.2834250179,0,16672
"Aditya Birla Nuvo Ltd.",50.9,1940.5,0,24919,11858.9,11017.3,1303,3477,2030.6,0,39633.4,16249.6,23222.2,1229.8,785.4,1165.25,16998.7,0.4836389101,0,16998.7
"Bharat Electronics Ltd.",18330.7,1004.5,0,123718.9,75850.3,0,3190,-10442.7,925,0,127414,86322.1,0,2980,387.37,367.77,20861.7,-0.05059761985,0,20861.7
"Indusind Bank Ltd.",14214.2,605.5,0,67481.1,15918.2,1947.1,3265.6,15150.2,749.6,0,70918.9,16720.3,22570.7,4033.8,334.15,387.45,22341.9,0.1595092025,0,22341.9
"Oil India Ltd.",32259.4,4790,183.8,137528.3,21380.3,10055.4,12973.2,-8345.6,5142,0,132928.6,23085.8,0,17272.6,496.3,517.2,23401.8,0.04211162603,0,23401.8
"L I C Housing Finance Ltd.",-1130.7,62.4,0,7846.3,24959.1,12925.9,4004.5,-1014,74.2,0,8532.7,17802.4,30074.9,3677.1,262.05,165.7,24473.8,-0.3676779241,0,24473.8
"Yes Bank Ltd.",8227.3,348.4,0,44987.1,23117.9,5930,4112.9,895.6,408.2,0,75573.2,54300.6,24294.5,5036.3,365.2,324,25614.8,-0.1128148959,0,25614.8
"N T P C Ltd.",17257.8,26110.8,0,318205.8,112988.9,41.2,24973,-397.7,27917,0,365017.3,127829.5,29.6,29136.4,157,130.7,25861.2,-0.1675159236,0,25861.2
"I D F C Ltd.",1933.1,327,0,35386.7,11373.4,12309.1,5239,-1632,312.8,0,36098.5,14718.8,38560.7,6687,134.55,109.5,28318.3,-0.1861761427,0,28318.3
"Jaiprakash Associates Ltd.",-14166.6,6093.8,0,94156.6,52924.8,7108.8,3300.9,-14402.9,6141.5,0,138011.7,58785.7,10842.4,2383.5,73.4,36.15,34905.2,-0.507493188,0,34905.2
"Oriental Bank Of Commerce",30869.2,917.5,0,144509.3,51799.7,4643.5,5783.9,-28911.4,1042.2,2385.6,113701.8,38373.1,4637.2,2716.7,237.8,155.15,35898.4,-0.3475609756,0,35898.4
"Hindustan Zinc Ltd.",47053.9,4747.4,0,69110.2,10076,0,11422.2,-2481.8,6106.7,0,68051.6,9905.9,0,14089.5,119.35,101.65,45207.8,-0.1483033096,0,45207.8
"Union Bank Of India",43217.5,1556.6,0,247259.9,65026.4,0,8070,-44233.1,1464.5,0,201122.2,67125.3,7000,9256.2,167.8,133.1,45935.7,-0.2067938021,0,45935.7
"Bank Of India",60798.6,1405.6,0,466900.2,122682.7,1784.1,8693.1,-25987.4,1668.3,0,423076.2,112176.5,3203.5,5188.5,297.9,184.7,49714.7,-0.3799932863,0,49714.7
"Infosys Ltd.",38680,7400,0,215550,13210,0,25210,43320,7940,0,275050,16120,0,31470,556.74,742.41,50270,0.3334949887,0,50270
"I D B I Bank Ltd.",61832.4,1270.4,125,228850.9,45576.6,6713,7349.4,-27084.2,1160.6,125,208321.3,48332,1705.5,11049.3,88,65.1,63038.4,-0.2602272727,0,63038.4
"Tata Consultancy Services Ltd.",2725.1,5378.2,0,118372.9,38627.7,0,12412.3,-2892.3,6881.7,0,173851.3,46360.9,0,29003.7,1243.65,1815.5,63072.3,0.4598158646,0,63072.3
"Axis Bank Ltd.",62047.5,2895.9,0,251837.8,68448.7,10000,19530.3,-74747.4,3422.4,0,192709,70336.7,285,22562.3,208.83,206.91,65672.7,-0.00919408131,0,65672.7
"Adani Power Ltd.",-3054.6,1953.4,0,13327.8,14983.8,20042.3,0,-1249.7,5606.4,0,49827.9,20437,62580.4,0,43.7,35.05,66173.7,-0.1979405034,0,66173.7
"Punjab National Bank",62176.5,2558.5,7085.3,340485.1,112962.7,139.5,21507.8,-8631.8,2922.6,6647.3,350756.7,109490.2,220,21528.4,145.42,114.02,75083.6,-0.2159262825,0,75083.6
"Bharat Heavy Electricals Ltd.",-1599.3,5441.2,0,490661.2,313465.7,0,37120,-29581.7,8000,0,585979,335684.3,0,32770,215.65,158.3,88731.6,-0.2659401808,0,88731.6
"Uco Bank",88761,805.5,1600.7,189987.1,37607.8,1.5,3241.2,-34984.1,781.2,1600.7,164341.6,41476.9,1.4,3338.5,69.65,60.05,91945.8,-0.1378320172,0,91945.8
"Larsen & Toubro Ltd.",2984.8,5992.2,0,272453.7,255949.8,7161.7,16891.9,1749.1,6912,0,396626.5,299514.3,26037.2,18141.3,912.93,847.15,95056.9,-0.07205371715,0,95056.9
"Canara Bank",110549.1,1513.6,0,372109.5,80654.3,0,10000,-25287.1,1568.9,0,350058.7,79444.6,1271.9,8000,366.2,273.9,112698.1,-0.2520480612,0,112698.1
"Bank Of Baroda",144670.1,2430.4,3659.8,532443.1,64688.6,1144.9,16529.1,142344.7,2765.7,3659.8,713022.2,86944.4,1680,14439.8,131.22,112.32,152669,-0.1440329218,0,152669
"Reliance Industries Ltd.",136720,136080,0,746010,494040,2510,43200,124630,113940,0,942260,442170,1190,51500,743.6,872.05,153250,0.1727407208,0,153250
"Indian Oil Corpn. Ltd.",-206.8,45466.7,1320.4,760309.1,554794.3,166008.4,15837.8,-9867.4,48677.9,890.2,969601.6,562471.9,244400.7,11479.7,269.9,204.9,235741.6,-0.240829937,0,235741.6
"State Bank Of India",366854.4,9905,0,1596367.1,865791.6,90326.4,57095.4,-279280.9,10071.7,1000,1418547.2,704271,50481,63353.7,200.51,170.84,585177.2,-0.1479726697,0.1508941664,585177.2
