"","pNet cash flow due to net changes in cash and cash equivalents","pDepreciation (net of transfer from revaluation reserves)","pAmortisation","pCurrent assets","pCurrent liabilities","pShort term bank borrowings","pCorporate tax","cNet cash flow due to net changes in cash and cash equivalents","cDepreciation (net of transfer from revaluation reserves)","cAmortisation","cCurrent assets","cCurrent liabilities","cShort term bank borrowings","cCorporate tax","cAdjusted Closing Price ","fAdjusted Closing Price ","nACCRUALS","nReturn","nNET PROFIT","Accrual"
"India Cements Ltd.",16.5,2818.4,32.4,9713.6,12210.2,8062.6,836.4,-19.3,2763.9,49.1,9808.1,12940.3,5086,0,103.35,92.6,-7225.8,-0.1040154814,0,-7225.8
"Godrej Industries Ltd.",-256.4,231.2,0,7484.9,4619,552.6,23.1,306.6,246.1,0,4214.7,6698,1141,0.9,335.23,390.65,-5592.1,0.165319333,0,-5592.1
"Apollo Tyres Ltd.",435.9,2189.9,0,16347.2,8792.2,2244.2,1060.1,681.3,2445.2,0,18666.4,11691.8,2,1327.2,174.8,202.55,-5246.1,0.1587528604,0,-5246.1
"Power Finance Corpn. Ltd.",27648.3,57,0,80974.1,56036.2,38197.7,15435.7,-46892.6,49.3,0,44313.9,65916.2,0,20758.1,268.35,246.15,-4923.9,-0.08272778088,0,-4923.9
"Century Textiles & Inds. Ltd.",45.9,3603.7,0,17101.4,8978.3,8530.2,0,184.6,3569.2,0,19494.5,11003.5,7330.1,130,603.45,704.35,-4410.1,0.1672052366,0,-4410.1
"Oriental Bank Of Commerce",-1373.3,1231.3,2268.9,116172.4,36510.1,7456.6,2037.1,56793,1293.4,2373.9,183239.5,46664.6,5800.7,4397.1,278.25,171.6,-4216.9,-0.3832884097,0,-4216.9
"Dish T V India Ltd.",-504.6,6275.5,0,4160.6,9972.7,425.8,0,-565.4,5973.1,0,3974.9,8075.3,546.2,0,58.65,116.05,-4080.2,0.978687127,0,-4080.2
"Tata Communications Ltd.",2744.6,7624,0,15392.6,21678.9,91.4,2065.8,1931,6802.3,0,16232.6,21407.3,0,3530.1,371.4,450.45,-3504.2,0.2128432956,0,-3504.2
"Karnataka Bank Ltd.",882.3,240.3,314.1,24480.5,9436.2,4.9,1161,3836,255.3,314.1,28136,12726.8,0,976.2,127.45,140.9,-3347.9,0.105531581,0,-3347.9
"Federal Bank Ltd.",1874.4,787,0,46890.2,14409.4,0,5148.1,8093.9,937.3,336.8,54939.9,14941.5,0,1980,59.98,67.75,-3144.1,0.1295431811,0,-3144.1
"Asian Paints Ltd.",506,1211,0,24056.5,16448.1,0,4060.3,1935.1,2052.7,0,27340.1,20187.2,0,4986.3,628.65,882.8,-3011.3,0.4042790106,0,-3011.3
"Jain Irrigation Systems Ltd.",-1123.2,1206.6,0,32860.4,13280.6,14211.9,127.7,-486.8,1424,0,31711.1,13513.2,14913.6,0,102.4,74.4,-2868.3,-0.2734375,0,-2868.3
"Housing Development & Infrastructure Ltd.",-376.5,78.2,0,112046.7,27411.7,10001.6,176.7,120.8,78,0,110669.4,26394.8,8502.4,87.5,92.75,86.15,-2524.1,-0.07115902965,0,-2524.1
"Cipla Ltd.",500.1,2677.8,0,42693.4,10661.4,9986.9,3860,-590.2,2843.2,0,44826.5,12867.6,9158.5,4000,456.5,709.05,-2514.4,0.5532311062,0,-2514.4
"Hexaware Technologies Ltd.",-2262.8,269.5,0,3892.4,2309.7,0,554,373.8,310.3,0,4374.5,2167.7,0,819.3,142.15,286.7,-2057.5,1.016883574,0,-2057.5
"Tata Chemicals Ltd.",1969.8,2142.9,0,45849.6,15354.9,1880.4,1570,-620.3,1588.2,0,42805,16335.1,3351.9,1510,347.2,490,-1611.4,0.4112903226,0,-1611.4
"United Breweries Ltd.",-642.1,1702.4,0,15829.8,7705,5176.9,874.2,-399.7,1976.7,0,16669.5,7807.6,4889.1,1035.4,705.1,1056.2,-1608.6,0.4979435541,0,-1608.6
"Dabur India Ltd.",316.7,484.5,0,10339.7,7087.7,1907.4,1505.9,759.7,532.8,0,12469.4,8519.7,442.9,1804.8,207.25,293.3,-1443.7,0.415199035,0,-1443.7
"Ambuja Cements Ltd.",9603.9,8168.8,2.7,37450.8,15871.4,0,7020,1009,5012.1,0,38140.1,18860.2,0,4300,206.4,232.3,-1436.7,0.1254844961,0,-1436.70000000001
"Sun T V Network Ltd.",140.9,4131.8,0,10516.1,1774.9,0,3359.3,-233.9,4508.4,0,12828.9,1706.2,0,3702.2,424.75,336.8,-1409.2,-0.2070629782,0,-1409.2
"Exide Industries Ltd.",171.2,1134.8,0,17565.7,8300.5,0,2109.3,451.6,1256,0,18257.3,8882.9,0,2288.7,164.45,146.25,-1247.8,-0.1106719368,0,-1247.8
"Jubilant Foodworks Ltd.",196.1,546.7,0,690.1,1796.8,119.9,472.8,-76.1,766.7,0,665.3,2456.9,144.3,443.4,1258.1,1832.15,-1184.4,0.4562832843,0,-1184.4
"Voltas Ltd.",542.9,219.6,0,30769.3,21002.7,2119.7,608.1,-513.2,184.1,0,28308.9,20633.8,1933.7,841.5,192.25,317.6,-1172.1,0.6520156047,0,-1172.1
"Union Bank Of India",5352.5,1509.2,0,207221.2,70806.8,2000,9063.1,68624.8,1937.8,0,283448.2,75478.5,0,3707.9,191.25,176.5,-1010,-0.07712418301,0,-1010.00000000001
"D L F Ltd.",-404.8,1390.2,0,178057.4,60627.4,25037.9,1570,1449.6,751.9,0,186385.8,65636.7,24697.4,210,198.25,115.05,-987.7,-0.4196721311,0,-987.700000000003
"Indiabulls Real Estate Ltd.",-132.9,33.3,0,2691,427.5,0,696.6,546.9,32.1,0,3265.3,526.4,0,129.3,78.65,63,-803.8,-0.1989828353,0,-803.8
"Tata Global Beverages Ltd.",25.5,163.9,0,8395.1,3381,1835.7,770,-130.7,163.5,0,7790.9,3763.6,1315.1,1520.2,153.5,140.2,-764.5,-0.08664495114,0,-764.500000000001
"Indraprastha Gas Ltd.",631,1866.6,0,3050.2,4937.7,0,1517,1059.9,2195.4,0,5511.2,5399.9,0,1676,372.75,484.15,-466.5,0.2988598256,0,-466.5
"J S W Energy Ltd.",-493,4249.4,0,21454.8,23838.6,1200,2488.6,511.9,4528.5,0,20883.3,17526,1199.9,1830.8,75.3,84.3,-450.2,0.1195219124,0,-450.200000000003
"Just Dial Ltd.",-0.1,144,0,298.5,1752.3,0,278.9,85.1,172.9,0,423.7,2065.2,0,433,1672.6,1079.8,-291.7,-0.354418271,0,-291.7
"Mahindra & Mahindra Ltd.",278.5,7108.1,0,70194.5,67857.6,0,9332.1,5416.5,6105.3,0,89183.9,74884.6,0.5,8379.5,1201.65,1363.6,-233,0.1347730204,0,-233
"Kotak Mahindra Bank Ltd.",10546.1,1325.3,0,56873.3,27002.8,25668.4,6328.9,22907.3,1651.8,0,78259.9,31467.7,21609,7417.8,476.85,695.4,-61.8,0.4583202265,0,-61.8000000000065
"Mcleod Russel India Ltd.",4.9,322.1,0,3564.7,1326.3,1427.6,496.5,11.9,372.5,0,4053.9,1352,1374,442.3,281.25,225.25,-23.8,-0.1991111111,0,-23.7999999999997
"Apollo Hospitals Enterprise Ltd.",686.5,1085.2,0,9045,3042.3,26.3,0,-465.7,1290.8,0,9543.1,3519.3,144.3,0,1013.2,1359.85,0.5,0.3421338334,0,0.500000000000171
"Petronet L N G Ltd.",2846.2,1866,59,40836.1,29780.3,0,5430,-357.2,3081,166.2,43125.9,28337.5,0,2180,182.65,193.3,438.8,0.0583082398,0,438.800000000001
"Indian Overseas Bank",-10026.8,1265.9,2010.4,188547,57404.6,0,1802.5,37503.6,1413.2,0,242401.1,62466.3,0,2413,70.15,38,459.3,-0.4583036351,0,459.299999999996
"Bata India Ltd.",101.5,513.7,0,7009.7,3506,0,908.4,186.3,591.9,0,8989,4530.8,0,1156,623.55,600.2,525.4,-0.03744687675,0,525.4
"Crompton Greaves Ltd.",-323.1,700.8,0,28000.1,19629.2,129.3,1435.8,1540.1,811.4,0,30710.7,19540.1,299.9,1676,194.45,183.7,535.9,-0.05528413474,0,535.900000000006
"Colgate-Palmolive (India) Ltd.",1400.5,437,0,6998.3,7176.5,0,1766.2,-1450.6,507.5,0,5768.7,7722.1,0,1834.3,783.1,994.92,636.5,0.2704890819,0,636.5
"Arvind Ltd.",1139.9,1504.9,0,16844,7528.9,9639.9,0,-398.4,1571.8,0,18575.4,8258.2,10060,0,230.65,318.45,1388.7,0.3806633427,0,1388.7
"A C C Ltd.",2047.3,5588.8,0,23059.2,24793.6,0,4391.6,-6359.8,5739.5,0,23577.3,25566.1,0,3630.5,1395.9,1387.4,1652.1,-0.006089261408,0,1652.1
"M R F Ltd.",2261.5,3729.3,0,36903.4,24465.9,4203,3890,-306.8,4230.9,0,42254.5,27360.8,5209.5,4280,23337.2,40839.25,2190.1,0.7499635775,0,2190.1
"Havells India Ltd.",1103,578.8,0,10536.3,6589.8,0,918.7,1531,636.3,0,14680.5,7869.4,0,1369.9,239.59,279.1,2251.5,0.1649067156,0,2251.5
"Mahindra & Mahindra Financial Services Ltd.",740.3,222.4,0,7718.2,11089.7,12697.8,4335.1,-216.4,243,0,11320.6,13498.4,12217.4,5354,235.25,257.9,2445.9,0.0962805526,0,2445.9
"Divi'S Laboratories Ltd.",-24.2,769,0,14068.2,2872,305.1,1530,45.7,920.6,0,17269.9,2946.9,163.3,2061.5,737.98,980.8,2526,0.3290333071,0,2526
"Grasim Industries Ltd.",52.5,1592.1,0,13385.6,7747.3,973.4,2650.1,100.3,2196.1,0,18898.2,7774.9,1271.6,1665.1,3214.75,3716.25,2554.3,0.1559996889,0,2554.3
"Biocon Ltd.",1138,968,0,9798,4272,282,760,454,1317,0,13460,4755,274,808,470.1,457.4,2586,-0.02701552861,0,2586
"Reliance Infrastructure Ltd.",-5587.5,3920.5,0,87947.5,112760.1,8981.6,400,861.1,3420.7,0,97280.9,116951,14093.8,2810,741.4,414.6,2795.4,-0.4407876989,0,2795.4
"Bharat Forge Ltd.",261.8,2239.3,0,15263.9,6673.5,62.7,0,-567.9,2453.2,0,18702.9,6973,12.1,1539,723.75,1147.85,3004.4,0.5859758204,0,3004.4
"L & T Finance Holdings Ltd.",450,1,0,541.3,3405.3,0,573.5,-25.9,1.1,0,567.2,119.3,46.7,0.8,68.35,70.8,3260.7,0.03584491587,0,3260.7
